unique_id,cm.DESWC,ner.entity.cnt,cm.LDTTRa,message.depth,cm.LDTTRc,cm.LSAGN,liwc.Qmark,message.sim.prev,cm.LDVOCD,liwc.money,cm.DESPL,message.sim.next,message.reply.cnt,cm.DESSC,lsa.similarity,cm.DESSL,cm.DESWLsyd,liwc.i,cm.RDFKGL,cm.SMCAUSwn,Words >6 letters,Total pronouns,Personal pronouns,First-person plural,Second person,Third-person singular,Third-person plural,Indefinite pronouns,Articles,Common verbs,Past tense,Present tense,Future tense,Adverbs,Prepositions,Conjunctions,Negations,Quantifiers,Numbers,adjectives_ambiguity,adverbs_ambiguity,nouns_ambiguity,verbs_ambiguity,adjacent_refs,anaphoric_refs,adjectives,adverbs,content_words,flesch,function_words,nouns,paragraphs,pronouns,sentences,sentences_per_paragraph,syllables_per_content_word,verbs,words,words_per_sentence,add_neg_conn_incidence,add_pos_conn_incidence,cau_neg_conn_incidence,cau_pos_conn_incidence,conn_incidence,log_neg_conn_incidence,log_pos_conn_incidence,tmp_neg_conn_incidence,tmp_pos_conn_incidence,mod_per_np,np_incidence,words_before_main_verb,adj_arg_ovl,adj_cw_ovl,adj_stem_ovl,arg_ovl,stem_ovl,cw_freq,min_cw_freq,hypernyms_verbs,and_incidence,if_incidence,logic_operators,negation_incidence,or_incidence,personal_pronouns,pronouns_per_np,ttr,classe
13,133,9,0.616,0,0.445,0,2,0,0.445,1,0.812,0.773,4,13,0.353,10.923,1.212,0,43.104,4.067,45,14,14,1,0,1,1,0,16,15,1,10,1,10,15,6,2,5,4,2.667,2.857,2.37,9.333,0,0,22.556,75.188,609.023,41.283,383.459,406.015,8,60.15,11,1.375,2.988,105.263,133,12.091,0,60.15,0,52.632,105.263,0,37.594,0,15.038,0.137,425.744,1.636,0.3,0.2,0.2,0.109,0.236,702068.049,91492,0.5,37.594,7.519,60.15,15.038,0,0,0.012,0.714,1
466,118,1,0.582,1,0.321,0.773,0,0.773,0.321,0,1,0.752,0,6,0.619,20.833,1.174,0,47.735,46.25,34,0,0,0,0,2,1,1,20,20,4,3,1,12,15,8,3,4,0,4.583,2,3.808,15.6,0.4,1.4,101.695,84.746,550.847,48.919,440.678,220.339,3,59.322,6,2,2.769,144.068,118,19.667,8.475,67.797,0,101.695,177.966,0,67.797,0,16.949,0.577,291.534,3.5,0.2,1,1.4,0.267,1.8,468424.108,2885.833,0.118,42.373,8.475,76.271,25.424,0,8.475,0.015,0.636,2
484,36,1,0.814,1,0.465,0.795,2,0.752,0.465,0,5,0.51,0,5,0.291,7.6,0.816,0,67.221,0,9,0,0,0,0,0,0,0,4,7,2,2,0,2,5,2,0,1,0,6.5,6,3.6,7.5,0,0,55.556,27.778,555.556,68.15,444.444,277.778,1,111.111,4,4,2.55,194.444,36,9,0,27.778,0,55.556,111.111,0,27.778,0,27.778,0.25,456.044,2.5,0,0,0,0,0,75377.55,9570.75,0.25,27.778,0,27.778,0,0,27.778,0,0.972,1
485,18,1,0.864,2,0.455,0.559,1,0.51,0.455,0,3,0.626,0,3,0.249,6.333,1.057,0,49.707,0,4,1,1,0,0,1,1,1,1,2,0,0,0,2,1,1,0,2,0,5,5.5,1.333,10,0,0,55.556,111.111,611.111,42.565,388.889,333.333,1,166.667,1,1,2.909,111.111,18,18,0,0,0,55.556,111.111,0,55.556,0,55.556,0.167,333.333,2,0,0,0,0,0,192860.727,204,0,0,55.556,55.556,0,0,55.556,0.167,1,1
495,50,4,0.712,3,0.458,0.626,0,0.626,0.458,0,0.667,0.657,0,2,0.324,26,1.098,0,48.169,11.083,12,3,3,0,0,2,2,2,3,12,2,4,0,9,3,4,4,1,0,4.5,1.5,2.364,8.727,0,0,40,140,620,49.184,380,220,2,140,2,1,2.581,220,50,25,40,0,0,40,80,0,40,0,0,0.167,362.319,1.5,0,3,3,0,3,1677141.194,7,0.3,0,20,100,80,0,0,0,0.8,3
504,39,0,0.833,1,0.524,0.715,0,0.657,0.524,0,1,0.863,0,1,0,40,1.359,0,17.343,6.286,14,0,0,0,0,0,0,0,4,7,1,3,0,1,3,4,0,0,1,1.4,0.667,1.7,8.6,0,0,128.205,76.923,615.385,16.188,358.974,256.41,1,25.641,1,1,3,153.846,39,39,0,76.923,0,51.282,102.564,0,25.641,0,0,0.385,333.333,16,0,0,0,0,0,222206.417,0,0.167,51.282,0,51.282,0,0,0,0.077,0.872,2
507,89,4,0.692,1,0.462,0.784,0,0.863,0.462,0,2,0.857,0,6,0.377,15.333,1.246,0,20.346,22.714,33,3,3,0,0,1,0,3,8,14,1,4,0,2,16,2,0,1,0,9.4,1.333,2.903,6.25,0.75,1.5,56.18,33.708,606.742,23.546,393.258,348.315,2,67.416,5,2.5,3.167,168.539,89,17.8,0,33.708,0,101.124,123.596,0,67.416,0,11.236,0.321,372.131,2.2,1,1,1,0.6,0.6,691084.407,1787.8,0.615,11.236,0,22.472,0,11.236,11.236,0.029,0.787,2
522,51,0,0.807,1,0.456,0.611,0,0.857,0.456,1,1,0.719,0,1,0,53,1.097,0,14.228,25.667,16,0,0,0,0,1,1,2,6,6,0,2,0,2,8,1,0,2,0,5.6,0.75,3.231,11.571,0,0,98.039,78.431,588.235,11.282,411.765,254.902,1,98.039,1,1,2.867,156.863,51,51,0,19.608,0,58.824,78.431,0,19.608,0,0,0.353,333.333,3,0,0,0,0,0,1195917.367,0,0.75,19.608,0,19.608,0,0,0,0,0.863,2
523,79,2,0.724,1,0.425,0.722,0,0.719,0.425,1,3,0.851,0,3,0.575,27,1.346,0,28.671,14.625,27,2,2,0,0,2,1,1,8,16,2,6,0,7,5,5,1,0,0,2,1,2.762,11.818,0,0,115.385,102.564,666.667,14.019,333.333,269.231,1,89.744,2,2,2.865,179.487,78,39,12.821,89.744,0,51.282,141.026,0,38.462,0,12.821,0.4,272.414,3.5,0,1,4,0,4,973273.5,971.5,0.286,51.282,0,64.103,12.821,0,12.821,0.025,0.782,2
533,27,1,0.871,1,0.581,0.597,0,0.851,0.581,0,1,0.708,0,2,0.088,14.5,1.828,0,-0.882,20,13,0,0,0,0,0,0,0,3,4,1,0,0,3,1,2,2,1,0,1,1,1.25,11.6,0,0,74.074,111.111,666.667,-3.001,333.333,296.296,2,74.074,2,1,3.5,185.185,27,13.5,0,74.074,0,37.037,111.111,0,74.074,0,0,0.3,850,7,0,0,0,0,0,760557.222,794,0.2,37.037,0,148.148,74.074,0,0,0,0.926,2
